profile_id,handle,current_primary,new_primary
5eefee9f-f4fb-4af6-83ac-6dd516e27c3d,0wl,0x78fb3d569650ea743fb7876312cb5ff7505dd602,0x652d7e1b706b10de0bfee179c1cc41df73d3ed34
688421f0-dda9-4ba2-a3a5-b5def176560b,0xCuttlefish,0xf0cf0a85c08527d8207a3ef45c5dc5af38a61da5,0x53006f95def268f88dc1b8216654ab56f3afd052
0f82d2ca-87b4-11ee-9d82-029a0e4b6159,100series,0xb099a3c3043b262518d9b6cd4d5c9f589b15e2ad,0x2bcbef6ad4f83f019280e5aee300897a37310e31
2ece3567-712c-4e20-a26e-ce3723762ea2,25th_Baam,0xec034c3abd17fbe51b10283d0902a1210041fc77,0xe4000d4f3f0e59ca00b803f54784fe0654a192f4
c2502ea0-012e-470f-aeef-7234ed017bca,4lteredBeast,0x0c55e7d45f53b6999732a75917df6eb711e58674,0x100f28c9b8b1fda897eadc775caf74e0f3560f73
987f75b9-adc4-46fa-9a87-61c8add3849a,2601,0xfd17019d6a7ddc7ad585afa68dbef71084162601,0x814842750489bb2a6f975a6bf45192d4d34375f3
ced4683e-e3e6-4764-9a94-0fe113e8c382,6529Research,0x32b8bce7cf8c6203a841b0d08bde5ae89f0af103,0xc2ce4ccef11a8171f443745cea3bceeaadd750c7
0f82d54d-87b4-11ee-9d82-029a0e4b6159,6529er,0xe359ab04cec41ac8c62bc5016c10c749c7de5480,0x7ba3e8f17582462676c44dd143388ed4b6b20655
95b6962b-8b23-4227-8d0a-3d52b5173d1b,888,0x44b4d430e7c56e4ca04c5799e561063ccc1f1df2,0xbc77584cdc956375ce5af33eb343de346bb969f5
d1526001-b777-4d37-a8e3-e182b06730fe,7151,0x9ecdae245a159b4385aaa7f7c6bd8a82660b86bc,0xafb4fccf58bfc06ebc8ccd387b68140cca05f4c5
958864da-d910-4ee3-bdd5-909242d66b3e,9gwei,0xa2fb4334e0c429e8f2e98e48517d72c87acbff49,0xc364a1ec8697e87991b2f4903ef398031d01a9b5
e6d6efe6-759b-48ff-ad69-3f05fc6c7044,Aare,0x9c31f5112faa5f8996562e2a2139988e3db63063,0x33f99cd0e3c56a6852d4627455296f30f2851772
7b102a6e-2cb4-4f51-90cd-7c999ad452cd,ac1d,0xeb0c4e7244100075c227cb60ea8107cae39c3211,0x70c8db61d09271f4c90950ba8c6cbaef918f12f2
ccac55c7-cfbe-468d-8fd9-24e4a0122fbe,AlpineLifer,0x7a79944ac7e770cfd13ec024a4b31b8c5efee60d,0x8c2dabfea8751dd7901e35a015dc6c943ffa0d7c
13c7a772-93b8-4ecd-8e6c-5f7baaf50244,Aman,0x6e94228fa20c775d2fcc0078a01fc903914e9d2e,0xf054274dd74987395d28136e53f39ef4f7b19994
aeca6b7b-7c95-495b-b3ad-946c70d4d325,AnaNovo,0x97ad7704d47b5827a5cc18c2e57f8643f1bdaad3,0x410a9f44948576c60f94b165f63eb79ce769a04c
0f82db44-87b4-11ee-9d82-029a0e4b6159,Andi_P,0xd4012980ef607f79b839095781a31cb2595461cf,0xf161ff39e19f605b2115afaeccbb3a112bbe4004
346720c6-2727-4ac9-a6f0-1551aecd34ef,amtwo,0x8d49f11b33f0662074cd4ebacb69c55041631ff8,0xc2e8ed8cc0be70f91fc9aa903d5f4538719d7dec
19ec60c2-5aa8-4024-855a-d65b6e4ee6af,Angol,0x81974c1a09e53c5129c6e4f74e547fda0adf4d2d,0x0220e0b5a23bf2419e643de74649a01bf77960ee
90405f61-800f-4037-b805-ac61a816dc61,Andre,0x140ce4fc34487ac55838316373eeb87dd10b65c7,0x8179e48d959a4c41d5e0432ac05b30707149d649
6e39cde2-e043-44a8-a7b0-ab1a32afee89,Anonymoux,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,0x08942872046fa44bc6456e491e8de11de8bae73e
2462ef1c-96c2-4218-9196-6500011d0ba9,apocalypse,0x4ca1c22a3bff99415c1095dc22b3595d2c54c458,0x774a34da2ee2e2d242180819f1ee88783215f7b9
0f82dedc-87b4-11ee-9d82-029a0e4b6159,aventurine,0x41dd1c6338e5b3cdf9dc69e20dad9834ae36a6d3,0xf603203b2fae1dbfaecec6c905a45b58352b8568
0f82de10-87b4-11ee-9d82-029a0e4b6159,ArtWard3n,0x8be5a2df6488b0937299d27f092716f4a9ab2fd8,0xf0753b5515c095cdfce5a0d58af15dc5aa46fa94
4159ac1e-1356-4b72-ac6c-859c3938ebd5,AustinFromFL,0x487869b7557f0fdecbc5141da1d7c48c15c5b8eb,0x6f5f89531837811e17720a31165d6f838f76df9b
0f82df5f-87b4-11ee-9d82-029a0e4b6159,azogz,0x2d0ddb67b7d551afa7c8fa4d31f86da9cc947450,0x58059014c5952c04370bcb88a2e0503e9eafb209
18fad39c-1a1a-4371-91fc-90f460e9e21a,Ayla,0xf1d83de0ead95747f4ac184b36659c0d538309c8,0x9b7c0814eb341e6a4ca673148e8b577b13e70787
